функция,x0,режим,D^0,D^0.5,D^1,D^1.5,D^2
1,2.0,a=0,1.0,0.39869301963792847,0.0,-0.09992306256593822,0.0
x,2.0,a=0,2.0,1.5947720785517143,1.0000000000000009,0.3996922502634753,0.0
x^2,2.0,a=0,4.0,4.247409635876062,3.9899999999999824,3.1855472346015192,1.9999999999953388
x^3,2.0,a=0,8.0,10.181056844915744,11.940099999999987,12.69442571450081,11.939999999999173
e^x,1.0,память L=5,2.718281828459045,2.7118642672880435,2.704735610978304,2.6978921578237585,2.691256899378658
sin x,1.0,память L=5,0.8414709848078965,0.9968519312154039,0.544500620737598,-0.21151840710812117,-0.8360190117406852
cos x,1.0,память L=5,0.5403023058681398,-0.19723235769769545,-0.8387554713447765,-0.9815087104784878,-0.548685288179751
sin x + cos x,1.0,память L=5,1.3817732906760363,0.7996195735176979,-0.2942548506071896,-1.1930271175864977,-1.384704299924877
ln x,8.0,память L=5,2.0794415416798357,0.7051576760443613,0.1250781901652509,-0.022923436075180798,-0.0156641481385833
x*sin x,1.0,память L=5,0.8414709848078965,1.0110122432669422,1.3805265993381166,1.286932265821347,0.26970260996961315
x*e^x,1.0,память L=5,2.718281828459045,4.0587295091174935,5.3959700833275726,6.725220176388417,8.046902983354087
tan x,1.0,память L=1,1.5574077246549023,2.2866596033753024,3.373098363700011,5.417991586721783,10.125086954095863
